Gameweek,HomeAbbrev,AwayAbbrev,H/A
21,MCI,BHA,H
21,NEW,LEE,H
21,WHU,NOT,H
21,TOT,BOU,A
21,LIV,ARS,A
21,SUN,BRF,A
21,MUN,BUR,A
21,AVL,CRY,A
21,WOL,EVE,A
21,CHE,FUL,A
21,BHA,MCI,A
21,LEE,NEW,A
21,NOT,WHU,A
22,AVL,EVE,H
22,BHA,BOU,H
22,CHE,BRF,H
22,LEE,FUL,H
22,LIV,BUR,H
22,MUN,MCI,H
22,NOT,ARS,H
22,SUN,CRY,H
22,TOT,WHU,H
22,WOL,NEW,H
22,EVE,AVL,A
22,BOU,BHA,A
22,BRF,CHE,A
22,FUL,LEE,A
22,BUR,LIV,A
22,MCI,MUN,A
22,ARS,NOT,A
22,CRY,SUN,A
22,WHU,TOT,A
22,NEW,WOL,A
23,BOU,LIV,H
23,ARS,MUN,H
23,BRF,NOT,H
23,BUR,TOT,H
23,CRY,CHE,H
23,EVE,LEE,H
23,FUL,BHA,H
23,MCI,WOL,H
23,NEW,AVL,H
23,WHU,SUN,H
23,LIV,BOU,A
23,MUN,ARS,A
23,NOT,BRF,A
23,TOT,BUR,A
23,CHE,CRY,A
23,LEE,EVE,A
23,BHA,FUL,A
23,WOL,MCI,A
23,AVL,NEW,A
23,SUN,WHU,A
24,AVL,BRF,H
24,BHA,EVE,H
24,CHE,WHU,H
24,LEE,ARS,H
24,LIV,NEW,H
24,MUN,FUL,H
24,NOT,CRY,H
24,SUN,BUR,H
24,TOT,MCI,H
24,WOL,BOU,H
24,BRF,AVL,A
24,EVE,BHA,A
24,WHU,CHE,A
24,ARS,LEE,A
24,NEW,LIV,A
24,FUL,MUN,A
24,CRY,NOT,A
24,BUR,SUN,A
24,MCI,TOT,A
24,BOU,WOL,A
25,BOU,AVL,H
25,ARS,SUN,H
25,BHA,CRY,H
25,BUR,WHU,H
25,FUL,EVE,H
25,LEE,NOT,H
25,LIV,MCI,H
25,MUN,TOT,H
25,NEW,BRF,H
25,WOL,CHE,H
25,AVL,BOU,A
25,SUN,ARS,A
25,CRY,BHA,A
25,WHU,BUR,A
25,EVE,FUL,A
25,NOT,LEE,A
25,MCI,LIV,A
25,TOT,MUN,A
25,BRF,NEW,A
25,CHE,WOL,A
26,AVL,BHA,H
26,BRF,ARS,H
26,CHE,LEE,H
26,CRY,BUR,H
26,EVE,BOU,H
26,MCI,FUL,H
26,NOT,WOL,H
26,SUN,LIV,H
26,TOT,NEW,H
26,WHU,MUN,H
26,BHA,AVL,A
26,ARS,BRF,A
26,LEE,CHE,A
26,BUR,CRY,A
26,BOU,EVE,A
26,FUL,MCI,A
26,WOL,NOT,A
26,LIV,SUN,A
26,NEW,TOT,A
26,MUN,WHU,A
27,AVL,LEE,H
27,BRF,BHA,H
27,CHE,BUR,H
27,CRY,WOL,H
27,EVE,MUN,H
27,MCI,NEW,H
27,NOT,LIV,H
27,SUN,FUL,H
27,TOT,ARS,H
27,WHU,BOU,H
27,LEE,AVL,A
27,BHA,BRF,A
27,BUR,CHE,A
27,WOL,CRY,A
27,MUN,EVE,A
27,NEW,MCI,A
27,LIV,NOT,A
27,FUL,SUN,A
27,ARS,TOT,A
27,BOU,WHU,A
28,BOU,SUN,H
28,ARS,CHE,H
28,BHA,NOT,H
28,BUR,BRF,H
28,FUL,TOT,H
28,LEE,MCI,H
28,LIV,WHU,H
28,MUN,CRY,H
28,NEW,EVE,H
28,WOL,AVL,H
28,SUN,BOU,A
28,CHE,ARS,A
28,NOT,BHA,A
28,BRF,BUR,A
28,TOT,FUL,A
28,MCI,LEE,A
28,WHU,LIV,A
28,CRY,MUN,A
28,EVE,NEW,A
28,AVL,WOL,A
29,BOU,BRF,H
29,AVL,CHE,H
29,BHA,ARS,H
29,EVE,BUR,H
29,FUL,WHU,H
29,LEE,SUN,H
29,MCI,NOT,H
29,NEW,MUN,H
29,TOT,CRY,H
29,WOL,LIV,H
29,BRF,BOU,A
29,CHE,AVL,A
29,ARS,BHA,A
29,BUR,EVE,A
29,WHU,FUL,A
29,SUN,LEE,A
29,NOT,MCI,A
29,MUN,NEW,A
29,CRY,TOT,A
29,LIV,WOL,A
30,ARS,EVE,H
30,BRF,WOL,H
30,BUR,BOU,H
30,CHE,NEW,H
30,CRY,LEE,H
30,LIV,TOT,H
30,MUN,AVL,H
30,NOT,FUL,H
30,SUN,BHA,H
30,WHU,MCI,H
30,EVE,ARS,A
30,WOL,BRF,A
30,BOU,BUR,A
30,NEW,CHE,A
30,LEE,CRY,A
30,TOT,LIV,A
30,AVL,MUN,A
30,FUL,NOT,A
30,BHA,SUN,A
30,MCI,WHU,A
31,BOU,MUN,H
31,AVL,WHU,H
31,BHA,LIV,H
31,EVE,CHE,H
31,FUL,BUR,H
31,LEE,BRF,H
31,MCI,CRY,H
31,NEW,SUN,H
31,TOT,NOT,H
31,WOL,ARS,H
31,MUN,BOU,A
31,WHU,AVL,A
31,LIV,BHA,A
31,CHE,EVE,A
31,BUR,FUL,A
31,BRF,LEE,A
31,CRY,MCI,A
31,SUN,NEW,A
31,NOT,TOT,A
31,ARS,WOL,A
32,ARS,BOU,H
32,BRF,EVE,H
32,BUR,BHA,H
32,CHE,MCI,H
32,CRY,NEW,H
32,LIV,FUL,H
32,MUN,LEE,H
32,NOT,AVL,H
32,SUN,TOT,H
32,WHU,WOL,H
32,BOU,ARS,A
32,EVE,BRF,A
32,BHA,BUR,A
32,MCI,CHE,A
32,NEW,CRY,A
32,FUL,LIV,A
32,LEE,MUN,A
32,AVL,NOT,A
32,TOT,SUN,A
32,WOL,WHU,A
33,AVL,SUN,H
33,BRF,FUL,H
33,CHE,MUN,H
33,CRY,WHU,H
33,EVE,LIV,H
33,LEE,WOL,H
33,MCI,ARS,H
33,NEW,BOU,H
33,NOT,BUR,H
33,TOT,BHA,H
33,SUN,AVL,A
33,FUL,BRF,A
33,MUN,CHE,A
33,WHU,CRY,A
33,LIV,EVE,A
33,WOL,LEE,A
33,ARS,MCI,A
33,BOU,NEW,A
33,BUR,NOT,A
33,BHA,TOT,A
34,BOU,LEE,H
34,ARS,NEW,H
34,BHA,CHE,H
34,BUR,MCI,H
34,FUL,AVL,H
34,LIV,CRY,H
34,MUN,BRF,H
34,SUN,NOT,H
34,WHU,EVE,H
34,WOL,TOT,H
34,LEE,BOU,A
34,NEW,ARS,A
34,CHE,BHA,A
34,MCI,BUR,A
34,AVL,FUL,A
34,CRY,LIV,A
34,BRF,MUN,A
34,NOT,SUN,A
34,EVE,WHU,A
34,TOT,WOL,A
35,BOU,CRY,H
35,ARS,FUL,H
35,AVL,TOT,H
35,BRF,WHU,H
35,CHE,NOT,H
35,EVE,MCI,H
35,LEE,BUR,H
35,MUN,LIV,H
35,NEW,BHA,H
35,WOL,SUN,H
35,CRY,BOU,A
35,FUL,ARS,A
35,TOT,AVL,A
35,WHU,BRF,A
35,NOT,CHE,A
35,MCI,EVE,A
35,BUR,LEE,A
35,LIV,MUN,A
35,BHA,NEW,A
35,SUN,WOL,A
36,BHA,WOL,H
36,BUR,AVL,H
36,CRY,EVE,H
36,FUL,BOU,H
36,LIV,CHE,H
36,MCI,BRF,H
36,NOT,NEW,H
36,SUN,MUN,H
36,TOT,LEE,H
36,WHU,ARS,H
36,WOL,BHA,A
36,AVL,BUR,A
36,EVE,CRY,A
36,BOU,FUL,A
36,CHE,LIV,A
36,BRF,MCI,A
36,NEW,NOT,A
36,MUN,SUN,A
36,LEE,TOT,A
36,ARS,WHU,A
37,BOU,MCI,H
37,ARS,BUR,H
37,AVL,LIV,H
37,BRF,CRY,H
37,CHE,TOT,H
37,EVE,SUN,H
37,LEE,BHA,H
37,MUN,NOT,H
37,NEW,WHU,H
37,WOL,FUL,H
37,MCI,BOU,A
37,BUR,ARS,A
37,LIV,AVL,A
37,CRY,BRF,A
37,TOT,CHE,A
37,SUN,EVE,A
37,BHA,LEE,A
37,NOT,MUN,A
37,WHU,NEW,A
37,FUL,WOL,A
38,BHA,MUN,H
38,BUR,WOL,H
38,CRY,ARS,H
38,FUL,NEW,H
38,LIV,BRF,H
38,MCI,AVL,H
38,NOT,BOU,H
38,SUN,CHE,H
38,TOT,EVE,H
38,WHU,LEE,H
38,MUN,BHA,A
38,WOL,BUR,A
38,ARS,CRY,A
38,NEW,FUL,A
38,BRF,LIV,A
38,AVL,MCI,A
38,BOU,NOT,A
38,CHE,SUN,A
38,EVE,TOT,A
38,LEE,WHU,A
